school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G
GP;F;18;R;GT3;T;4;4;teacher;other;reputation;mother;2;2;0;no;no;no;yes;yes;yes;yes;no;4;3;4;2;2;4;8;-
GP;F;18;R;GT3;T;2;1;other;other;reputation;mother;2;2;0;no;yes;no;no;yes;no;yes;yes;4;3;5;1;2;3;12;-
GP;F;19;U;GT3;T;3;3;other;services;home;other;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;3;3;5;16;-
GP;F;17;U;LE3;T;2;2;services;other;course;mother;2;2;0;yes;yes;no;no;yes;yes;yes;yes;4;4;4;2;3;5;6;-
GP;F;18;R;GT3;A;3;2;other;services;home;mother;2;2;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5;15;-
GP;M;18;U;GT3;T;4;4;teacher;services;home;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;3;2;4;1;4;3;6;-
GP;F;19;R;GT3;T;3;2;services;services;reputation;father;1;2;1;yes;yes;no;no;yes;no;yes;no;3;3;3;4;3;3;0;-
GP;M;18;U;LE3;T;4;3;teacher;services;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;2;3;1;2;1;0;-
GP;M;18;U;GT3;T;1;2;at_home;other;home;other;2;1;0;no;no;no;no;no;no;yes;no;3;4;4;2;4;4;10;-
GP;M;17;U;LE3;A;4;1;services;other;home;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;4;5;4;2;4;5;22;-
GP;M;17;U;GT3;T;1;1;other;other;reputation;father;1;2;0;no;no;no;no;no;yes;yes;no;4;3;3;1;2;4;0;-
GP;F;17;R;GT3;T;4;4;services;services;reputation;mother;2;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;4;1;1;5;0;-
GP;M;19;R;LE3;T;2;1;at_home;services;course;mother;2;3;1;no;no;no;yes;yes;yes;yes;yes;4;3;1;1;1;5;0;-
GP;M;19;R;GT3;T;3;3;other;services;reputation;father;1;2;0;no;no;no;yes;yes;yes;no;yes;4;5;3;1;2;5;0;-
